id,y_true,y_pred
821198084644106078,6.364750756851911,6.2308946
821198370698658112,7.550135342488429,6.0310655
821200521820144734,6.55250788703459,5.064069
821223043903573522,6.2166061010848646,6.120371
821227099948297881,6.135564891081739,6.1207204
821242614763878451,5.641907070938114,5.673609
821254575358803002,6.85751406254539,5.954956
821314145791532025,6.111467339502679,5.801448
821529031538759784,6.90875477931522,6.4398427
821552389384274282,6.888572459565364,6.1642065
821640990014497089,5.459585514144159,5.59089
821647210258603432,5.204006687076795,6.1906495
821650232568274382,4.897839799950911,6.1719813
821653791917384181,5.099866427824199,5.5753427
821663392965007915,6.386879319362645,5.0340514
821672187738594951,5.8805329864007,6.035238
821675516470671454,6.398594934535208,6.1163497
821689968416671717,5.883322388488279,6.4974847
821712558794603474,6.2422232654551655,5.458001
821737968806867917,5.575949103146316,6.45561
821568077307009483,5.181783550292085,5.3283157
821590210039236935,5.497168225293202,5.9974265
821608275426250690,5.849324779946859,5.6524973
821619487927147019,6.2166061010848646,5.123311
822671773166080297,5.942799375126701,6.106993
821755149984691762,7.327123292259293,6.8237195
821788905850645120,5.877735781779639,5.6406293
821812188190574359,5.181783550292085,5.738159
821827393204150243,6.652863029353347,5.680414
821866172333881805,7.830425617820331,7.3971334
822685510524942076,6.418364935936212,6.552646
822704537524294809,6.769641976852503,6.4379067
822719200537896226,6.997595982981927,5.2697215
822923206165045984,6.261491684321042,5.882425
822933221852279797,5.147494476813453,5.970061
822975577165224380,6.621405651764134,6.118246
822991390354489771,8.98594603876032,8.78326
823006609724442849,9.46179923427044,8.883795
821882376192392832,6.236369590203704,5.891912
821901448108914706,4.51085950651685,4.67041
821919762296108728,5.869296913133774,6.4895997
821923880525512449,7.824445930877619,6.535621
822005428868953911,6.220590170099739,6.040726
822117632836868358,6.251903883165888,5.572003
822226711819307413,6.68586094706836,6.2516074
822268861928044203,4.6443908991413725,5.7748046
822273769577233714,5.765191102784844,6.282145
822279186419422626,6.042632833682381,6.224434
822287771202068110,5.958424693029782,5.7225637
823039402387432385,6.135564891081739,6.2548065
823049692966685108,4.983606621708336,5.8249907
823082366705561618,6.895682697747868,5.5611796
823129870553592125,5.342334251964811,5.686637
823160417475959104,6.3818160174060985,5.9640226
823171592501508186,6.236369590203704,6.2191377
823172255752210740,5.613128106388071,5.464776
823196467733648565,5.017279836814924,5.447324
822290264162769441,4.07753744390572,5.3444657
822308229712562091,5.44673737166631,6.14701
822317242625482064,5.973809611869261,5.7225637
822326925348329980,6.135564891081739,5.7225637
822348980763140826,6.171700597410915,5.7737565
822350106068230989,6.214608098422191,6.104616
822366547162622456,7.824445930877619,6.775998
822377647367117016,5.60947179518496,6.083528
822390997023954939,5.802118375377063,6.0536275
823204046363424399,5.111987788356544,5.672013
823209109420817897,6.57507584059962,6.478642
823218853348334508,5.993961427306569,5.880386
823222378811602013,6.771935555839602,5.9275346
823254438554120967,5.921578419643816,5.6578436
823257705043568780,5.846438775057725,5.783749
822397767708721272,6.46302945692067,5.949203
822398270129784998,5.14166355650266,5.4445605
822403457608123829,6.498282149476434,6.09924
822407196165240179,6.154858094016418,5.7225637
822419223687896993,5.420534999272286,5.21752
822470456671594950,5.303304908059076,5.1825886
822514794570618071,6.716594773520978,5.4781
822545375906131566,6.111467339502679,6.4781713
823263949738046768,5.8888779583328805,5.4342637
823274175136842193,6.240275845170769,6.1839585
823289408365969827,5.198497031265826,5.9817004
823340905165999894,7.396948602621014,6.386592
823366227555969103,5.420534999272286,5.4931593
823460456152334504,5.25227342804663,5.494946
823686994584277432,5.968707559985366,5.745711
823705398295275426,5.598421958998375,5.5976014
822589735667270699,6.398594934535208,6.1582184
822591139780899686,7.468513271496337,6.159643
822598474130611765,9.476313501265748,8.832001
822635832574787497,5.25227342804663,5.205257
822638497702230193,5.4638318050256105,5.5073476
822652569257291952,5.1647859739235145,5.4597507
822658742350905647,5.389071729816501,5.616598
823738271526760705,5.356586274672012,5.737761
823812882989946062,6.946975992135418,5.4781
823830698460966433,5.3981627015177525,5.4532223
823842692534826394,7.390798521735676,6.096654
